run,rerun,camcol,field,obj,type,ra,dec,u,g,r,i,z,Err_u,Err_g,Err_r,Err_i,Err_z
3325,41,4,58,24,6,352.564228,0.070884,17.765,15.353,14.274,14.428,13.705,0.014,3.303E-3,3.148E-3,5.328E-3,3.935E-3
2662,40,3,233,111,6,352.652261,-6.15097E-4,17.188,15.437,14.84,15.334,14.549,9.058E-3,3.785E-3,4.838E-3,1.661E-3,5.057E-3
3325,41,3,58,19,6,352.52706,-0.271974,17.591,15.944,15.247,14.971,14.807,0.012,3.6E-3,3.432E-3,3.458E-3,4.928E-3
2662,40,3,231,97,6,352.338651,-0.172168,18.338,16.845,16.232,16.014,15.895,0.016,4.374E-3,4.973E-3,5.564E-3,7.096E-3
3325,41,4,57,67,3,352.347967,7.616942E-4,20.427,19.535,19.002,18.58,18.512,0.122,0.019,0.017,0.019,0.075
3325,41,3,58,93,6,352.487515,-0.276809,21.32,19.725,19.031,18.728,18.55,0.175,0.018,0.014,0.015,0.04
2662,40,3,231,94,6,352.322111,-0.132031,18.746,17.559,17.044,16.858,16.747,0.02,5.384E-3,5.526E-3,6.16E-3,0.011
3325,41,4,57,24,6,352.371766,0.034092,18.766,17.051,16.285,16.005,15.831,0.026,4.52E-3,4.136E-3,3.936E-3,7.547E-3
3325,41,4,57,66,3,352.346947,3.451704E-3,19.869,18.543,17.889,17.397,17.216,0.087,0.01,8.633E-3,8.725E-3,0.029
3325,41,4,57,15,6,352.356756,0.017383,18.941,18.031,17.693,17.574,17.51,0.029,6.432E-3,6.366E-3,7.31E-3,0.021
3325,41,4,57,108,6,352.424584,0.071083,21.049,18.406,16.851,16.011,15.552,0.144,9.181E-3,6.922E-3,5.495E-3,8.803E-3
3325,41,4,58,91,6,352.509039,0.087964,20.648,19.343,18.646,18.404,18.217,0.108,0.014,0.011,0.012,0.036
3325,41,3,57,116,6,352.421014,-0.260459,19.235,18.274,17.893,17.762,17.726,0.034,7.457E-3,7.046E-3,8.361E-3,0.022
2662,40,3,234,6,6,352.684656,-0.091937,19.528,16.817,15.604,15.126,14.872,0.034,4.519E-3,5.097E-3,5.112E-3,5.305E-3
3325,41,4,57,74,6,352.359271,0.023009,20.39,18.523,17.727,17.439,17.25,0.084,8.256E-3,6.505E-3,6.854E-3,0.018
3325,41,3,58,142,6,352.610158,-0.244182,22.373,19.845,18.769,18.272,18.041,0.413,0.019,0.012,0.011,0.029
3325,41,4,58,233,3,352.604903,0.058441,20.902,19.802,19.208,18.912,18.71,0.206,0.026,0.024,0.027,0.102
3325,41,4,59,25,6,352.634436,0.033706,16.188,15.032,14.554,14.389,14.345,6.495E-3,3.255E-3,2.978E-3,3.411E-3,4.459E-3
3325,41,3,57,22,6,352.376142,-0.232907,18.836,16.97,16.257,16.006,15.844,0.026,4.533E-3,4.139E-3,3.991E-3,7.217E-3
3325,41,3,58,117,3,352.537738,-0.277284,19.303,18.04,17.292,16.853,16.594,0.081,0.011,8.404E-3,8.7E-3,0.025
2662,40,3,234,94,6,352.682648,-0.138036,21.439,18.744,17.313,16.535,16.094,0.131,0.011,0.011,0.01,0.012
2662,40,3,234,4,6,352.684322,-0.130669,16.581,15.215,14.582,14.569,14.509,7.083E-3,3.757E-3,8.279E-3,5.128E-3,5.035E-3
3325,41,4,57,64,3,352.34546,0.010357,21.695,19.392,18.199,17.717,17.33,0.389,0.021,0.011,0.011,0.028
3325,41,4,59,124,6,352.633173,0.038152,19.805,18.082,17.389,17.137,16.993,0.054,6.536E-3,5.544E-3,5.947E-3,0.015
3325,41,4,58,9,6,352.497314,0.093929,18.447,16.098,15.069,14.741,14.457,0.022,3.684E-3,3.46E-3,3.365E-3,4.535E-3
3325,41,4,58,10,6,352.496528,0.094135,20.231,17.535,16.119,15.373,15.021,0.079,5.717E-3,3.985E-3,3.467E-3,5.476E-3
3325,41,4,57,88,6,352.395283,0.063131,21.08,18.725,17.22,16.098,15.507,0.148,9.126E-3,5.367E-3,4.094E-3,6.606E-3
2662,40,3,231,92,6,352.318948,-0.037153,16.98,15.571,15.03,14.876,14.772,8.483E-3,3.757E-3,4.547E-3,5.379E-3,5.009E-3
3325,41,4,57,70,6,352.351951,0.024386,21.575,19.982,19.296,19.039,18.807,0.225,0.02,0.016,0.019,0.059
3325,41,4,58,13,6,352.514136,0.095611,15.468,14.313,13.819,13.796,13.539,5.04E-3,3.544E-3,5.801E-3,3.502E-3,4.292E-3
2662,40,3,231,67,6,352.317706,-0.152035,15.052,12.125,11.723,11.62,12.598,0.011,6.842E-4,8.931E-4,6.366E-4,8.067E-3
2662,40,3,231,68,6,352.317705,-0.152724,20.321,16.484,16.273,16.555,15.839,0.201,5.484E-3,4.685E-3,6.139E-3,0.018
2662,40,3,234,8,6,352.689279,-0.134668,19.165,17.254,16.506,16.191,16.04,0.026,4.998E-3,5.41E-3,5.526E-3,7.537E-3
3325,41,4,57,116,6,352.440854,0.087968,19.695,17.287,16.19,15.778,15.575,0.049,4.88E-3,4.051E-3,3.765E-3,6.621E-3
2662,40,3,234,10,6,352.69118,-0.064775,19.311,16.801,15.771,15.394,15.186,0.029,4.515E-3,5.149E-3,5.163E-3,5.736E-3
2662,40,3,231,210,6,352.328732,-6.279155E-3,21.718,19.386,17.999,17.181,16.752,0.15,0.014,0.012,0.012,0.014
3325,41,4,57,161,3,352.446785,0.090945,20.723,19.399,18.766,18.367,18.173,0.181,0.019,0.016,0.018,0.063
3325,41,4,57,77,6,352.367606,0.048029,19.254,17.846,17.284,17.077,16.995,0.036,6.051E-3,5.536E-3,5.811E-3,0.015
3325,41,4,58,222,3,352.502402,0.101067,20.991,19.948,19.495,19.18,18.916,0.286,0.037,0.037,0.044,0.157
3325,41,4,58,52,6,352.588142,0.080763,18.46,17.256,16.771,16.537,16.476,0.021,4.747E-3,4.443E-3,4.818E-3,0.01
2662,40,3,233,118,6,352.661669,-0.209504,19.296,16.59,15.123,22.98,13.865,0.029,4.586E-3,5.003E-3,0.423,4.554E-3
3325,41,3,59,23,6,352.661445,-0.210688,17.073,15.841,13.399,13.195,12.738,9.436E-3,5.969E-3,2.801E-3,1.078E-3,3.612E-3
2662,40,3,231,205,6,352.323137,-0.183571,20.145,18.028,17.137,16.831,16.633,0.047,6.242E-3,5.677E-3,6.117E-3,0.01
3325,41,3,58,438,3,352.615716,-0.258852,20.804,19.855,19.449,19.222,18.856,0.242,0.041,0.043,0.061,0.143
3325,41,3,58,30,6,352.533548,-0.292804,18.822,17.011,16.304,16.046,15.876,0.026,4.595E-3,4.055E-3,4.175E-3,7.381E-3
2662,40,3,231,201,6,352.311957,-0.02805,19.988,17.35,15.972,15.319,14.908,0.041,4.974E-3,4.797E-3,5.472E-3,5.082E-3
3325,41,4,58,178,6,352.613374,0.072619,20.524,18.275,16.888,15.411,14.646,0.094,7.288E-3,4.629E-3,3.777E-3,4.757E-3
3325,41,4,58,109,6,352.550698,0.100972,21.4,19.3,17.877,16.591,15.931,0.198,0.014,8.626E-3,6.871E-3,0.01
3325,41,3,57,109,6,352.397544,-0.269308,19.458,16.769,15.292,14.348,13.879,0.039,4.22E-3,3.589E-3,3.185E-3,4.138E-3
3325,41,3,58,319,3,352.551597,-0.29137,20.731,19.779,19.191,18.874,18.753,0.175,0.028,0.025,0.029,0.099
3325,41,3,57,63,6,352.445009,-0.290011,15.438,14.273,14.842,13.463,13.351,5.03E-3,3.743E-3,0.011,5.415E-3,4.594E-3
3325,41,4,56,125,6,352.326381,9.921323E-3,22.748,19.976,18.694,17.797,17.282,0.61,0.021,0.011,8.257E-3,0.019
2662,40,3,234,188,3,352.697997,-0.042022,21.477,19.911,18.321,17.741,17.299,0.365,0.034,0.015,0.014,0.034
3325,41,4,58,139,6,352.595793,0.085711,20.011,18.313,17.487,17.142,16.989,0.063,7.378E-3,5.826E-3,6.049E-3,0.015
2662,40,3,233,281,6,352.673263,-0.20486,20.967,19.906,19.563,19.419,19.548,0.094,0.016,0.015,0.018,0.076
3325,41,3,58,99,3,352.494967,-0.300883,20.813,19.785,19.324,19.045,18.961,0.14,0.024,0.021,0.024,0.08
2662,40,3,231,196,6,352.305371,-0.160512,22.308,19.943,18.6,17.902,17.486,0.238,0.017,9.125E-3,0.017,0.017
3325,41,3,58,86,6,352.614316,-0.267877,17.943,16.998,16.585,16.412,16.318,0.015,4.555E-3,4.239E-3,4.676E-3,9.164E-3
2662,40,3,234,14,6,352.694616,-0.168703,16.858,15.741,15.351,15.173,15.116,7.703E-3,3.785E-3,5.036E-3,5.082E-3,5.521E-3
3325,41,4,58,175,3,352.609571,0.081257,22.55,19.874,18.663,18.135,17.733,1.067,0.032,0.018,0.017,0.049
2662,40,3,231,61,6,352.294535,-0.117409,19.987,17.86,16.942,16.629,16.439,0.041,5.945E-3,5.361E-3,5.941E-3,9.255E-3
3325,41,4,57,113,6,352.436471,0.102525,21.462,19.426,17.956,17.02,16.524,0.206,0.014,7.194E-3,5.605E-3,0.011
3325,41,4,58,126,6,352.584455,0.095821,20.934,18.919,18.067,17.713,17.572,0.132,0.01,7.693E-3,7.953E-3,0.022
3325,41,4,58,174,3,352.61194,0.081988,20.515,18.713,17.812,17.418,17.106,0.124,0.01,7.51E-3,7.6E-3,0.021
2662,40,3,234,13,6,352.695479,-0.172035,15.882,15.014,15.711,16.061,13.752,6.468E-3,5.578E-3,0.013,0.015,6.016E-3
2662,40,3,234,101,6,352.695875,-0.017233,22.886,19.829,18.354,17.351,16.795,0.436,0.015,8.248E-3,6.792E-3,0.011
3325,41,3,58,31,6,352.547602,-0.300054,19.15,18.905,18.684,18.639,18.434,0.033,0.011,0.011,0.014,0.037
2662,40,3,234,2,6,352.678357,-0.207901,18.297,17.03,16.576,16.385,16.308,0.016,4.595E-3,5.521E-3,5.689E-3,8.543E-3
3325,41,3,57,95,6,352.378487,-0.266319,19.643,18.539,18.136,18.028,17.971,0.045,8.441E-3,7.94E-3,9.746E-3,0.027
3325,41,3,57,132,6,352.444178,-0.298634,20.571,18.06,16.85,16.382,16.12,0.091,6.659E-3,4.738E-3,4.494E-3,8.408E-3
3325,41,4,59,41,6,352.656668,0.047636,18.09,16.867,16.406,16.229,16.145,0.017,4.337E-3,3.928E-3,4.398E-3,8.949E-3
3325,41,3,58,63,6,352.561845,-0.298677,18.213,16.712,16.123,15.908,15.81,0.018,4.109E-3,3.841E-3,4.082E-3,7.081E-3
3325,41,3,58,143,6,352.62298,-0.26915,20.516,19.686,19.346,19.187,19.085,0.088,0.017,0.018,0.022,0.065
3325,41,3,57,96,6,352.386825,-0.274962,20.409,19.148,18.579,18.338,18.23,0.08,0.012,0.01,0.012,0.032
3325,41,3,58,101,6,352.498591,-0.308218,20.052,18.337,17.647,17.409,17.314,0.062,7.665E-3,6.256E-3,6.717E-3,0.016
3325,41,3,59,80,6,352.657379,-0.240204,19.508,16.844,15.37,14.743,14.381,0.04,5.951E-3,4.488E-3,5.284E-3,7.052E-3
3325,41,3,58,114,6,352.517155,-0.308315,22.543,19.69,18.286,17.49,17.052,0.491,0.017,8.688E-3,7.132E-3,0.014
3325,41,3,58,3,6,352.477871,-0.308064,16.637,15.445,15.013,14.877,14.815,7.56E-3,3.304E-3,3.416E-3,3.314E-3,4.88E-3
2662,40,3,231,190,6,352.287613,-0.119901,22.478,19.394,17.886,16.451,15.651,0.269,0.012,6.898E-3,5.807E-3,6.49E-3
3325,41,4,59,54,6,352.674507,0.03325,16.521,15.334,14.852,14.689,14.63,7.468E-3,3.341E-3,2.956E-3,3.416E-3,4.761E-3
2662,40,3,231,63,6,352.304362,-0.18507,20.047,19.497,19.356,19.236,18.939,0.043,0.012,0.013,0.016,0.05
3325,41,3,58,121,6,352.548444,-0.306172,20.534,19.484,19.092,18.942,18.751,0.089,0.015,0.014,0.017,0.047
3325,41,4,59,169,6,352.688384,0.012564,20.661,18.116,16.663,15.83,15.364,0.1,6.631E-3,4.221E-3,3.979E-3,6.055E-3
3325,41,4,59,165,6,352.679858,0.026885,19.531,18.439,17.972,17.771,17.676,0.043,8.04E-3,7.47E-3,8.268E-3,0.025
2662,40,3,234,111,6,352.698884,-0.18468,20.668,19.036,18.429,18.175,18.041,0.071,9.755E-3,8.483E-3,9.057E-3,0.023
3325,41,4,58,171,6,352.608416,0.094131,20.263,18.141,17.289,16.913,16.716,0.078,6.88E-3,5.508E-3,5.471E-3,0.013
3325,41,4,56,168,3,352.316118,0.020355,20.6,19.45,18.416,17.923,17.534,0.176,0.022,0.014,0.014,0.042
2662,40,3,234,16,6,352.712686,-0.043596,19.467,18.522,18.223,18.068,18.056,0.031,7.686E-3,7.917E-3,8.539E-3,0.023
2662,40,3,231,192,6,352.293587,-0.165872,20.146,17.856,16.911,16.553,16.328,0.047,5.96E-3,5.353E-3,5.879E-3,8.746E-3
3325,41,3,57,87,6,352.338549,-0.242333,20.985,18.592,17.25,16.667,16.362,0.127,8.898E-3,5.392E-3,4.965E-3,9.431E-3
2662,40,3,234,19,6,352.717303,-0.056362,18.227,16.98,16.54,16.375,16.298,0.015,4.57E-3,5.355E-3,5.477E-3,8.358E-3
3325,41,4,59,155,6,352.672426,0.043112,21.462,18.996,17.53,16.788,16.378,0.202,0.01,5.889E-3,5.173E-3,0.01
3325,41,4,59,6,3,352.633484,0.081068,15.677,13.705,12.86,12.422,12.134,8.272E-3,1.879E-3,1.748E-3,1.747E-3,2.316E-3
3325,41,4,59,178,6,352.697228,5.837747E-3,19.796,17.375,16.205,15.785,15.544,0.051,4.98E-3,3.75E-3,3.932E-3,6.491E-3
3325,41,4,57,25,6,352.37665,0.087954,19.077,18.091,17.709,17.594,17.57,0.032,6.647E-3,6.485E-3,7.504E-3,0.022
3325,41,4,59,150,6,352.668306,0.050101,21.889,19.345,17.946,16.7,16.051,0.293,0.013,7.244E-3,5.025E-3,8.396E-3
2662,40,3,234,103,3,352.697634,-0.198352,21.413,19.945,19.097,18.661,18.343,0.209,0.022,0.016,0.016,0.049
2662,40,3,234,114,3,352.705058,-0.183845,20.66,19.607,19.033,18.712,18.631,0.113,0.019,0.02,0.021,0.068
2662,40,3,234,129,6,352.723733,-0.092996,22.253,19.775,18.405,17.413,16.845,0.243,0.015,8.534E-3,6.829E-3,0.011
3325,41,4,58,127,6,352.587403,0.110376,20.65,19.287,18.638,18.28,18.139,0.105,0.013,0.011,0.011,0.034
2662,40,3,231,185,6,352.2772,-0.09399,21.477,19.347,18.429,18.096,17.905,0.121,0.012,8.447E-3,8.739E-3,0.023
3325,41,4,58,67,6,352.626128,0.090494,14.385,12.741,12.381,12.26,12.799,4.675E-3,1.364E-3,1.84E-3,1.031E-3,5.37E-3
2662,40,3,231,59,6,352.293376,-0.180122,19.712,17.466,16.463,16.097,15.866,0.035,5.228E-3,5.008E-3,5.713E-3,7.032E-3
3325,41,4,57,48,6,352.457028,0.125256,17.989,16.766,16.321,16.161,16.123,0.016,4.208E-3,4.172E-3,4.139E-3,8.664E-3
2662,40,3,231,184,6,352.276147,-0.102237,20.683,19.706,19.237,19.089,19.042,0.067,0.015,0.013,0.014,0.055
3325,41,3,57,93,3,352.373718,-0.280643,20.289,19.132,18.289,17.841,17.554,0.11,0.018,0.014,0.012,0.032
3325,41,3,57,356,3,352.419685,-0.304972,20.709,19.447,18.501,18.087,17.816,0.227,0.028,0.018,0.02,0.058
3325,41,4,57,90,6,352.397511,0.104908,19.754,18.079,17.331,17.022,16.854,0.052,6.711E-3,5.593E-3,5.733E-3,0.013
2662,40,3,231,52,6,352.277527,-0.059954,17.074,15.065,14.121,14.316,13.861,8.75E-3,3.762E-3,8.729E-3,1.504E-3,4.31E-3
3325,41,3,59,84,6,352.669875,-0.245871,22.624,19.94,18.608,18.158,17.879,0.498,0.02,0.011,0.01,0.025
3325,41,4,57,82,6,352.386105,0.100105,19.554,18.722,18.401,18.295,18.202,0.044,9.015E-3,9.206E-3,0.012,0.036
2662,40,3,231,183,6,352.274848,-0.071325,22.188,19.351,18.115,17.659,17.399,0.216,0.012,7.447E-3,7.572E-3,0.016
2662,40,3,231,187,6,352.28108,-0.153262,20.348,19.051,18.511,18.32,18.181,0.052,0.01,8.752E-3,9.604E-3,0.028
2662,40,3,234,125,6,352.716924,-0.167436,22.85,19.913,18.509,17.684,17.186,0.412,0.016,8.755E-3,7.512E-3,0.013
3325,41,3,58,15,6,352.517307,-0.322639,16.579,15.316,14.915,14.787,14.729,7.428E-3,3.294E-3,3.326E-3,3.395E-3,4.848E-3
3325,41,4,58,261,3,352.494288,0.13316,20.462,19.128,18.699,18.399,18.326,0.17,0.018,0.018,0.022,0.088
2662,40,3,234,127,6,352.722347,-0.035516,21.801,19.223,17.908,17.323,17.079,0.171,0.011,7.11E-3,6.639E-3,0.012
3325,41,3,59,146,3,352.646942,-0.272564,20.691,19.472,18.257,17.692,17.207,0.261,0.033,0.018,0.017,0.039
2662,40,3,234,117,6,352.705986,-0.199052,21.655,18.76,17.211,16.002,15.344,0.155,8.748E-3,6.009E-3,5.282E-3,6.049E-3
3325,41,3,57,123,6,352.428473,-0.313742,20.358,19.235,18.722,18.499,18.441,0.078,0.013,0.011,0.013,0.037
3325,41,3,59,82,3,352.663245,-0.258587,20.319,19.014,18.257,17.817,17.624,0.122,0.017,0.013,0.013,0.038
3325,41,4,57,58,6,352.332238,0.061844,20.964,18.604,17.088,15.887,15.274,0.133,8.531E-3,5.08E-3,3.89E-3,5.931E-3
3325,41,3,57,26,6,352.391909,-0.299073,17.115,15.102,14.239,13.962,13.822,9.582E-3,3.244E-3,3.363E-3,3.084E-3,4E-3
3325,41,3,57,94,6,352.376048,-0.290006,23.027,19.552,18.147,17.103,16.544,0.733,0.015,8.11E-3,5.899E-3,0.01
3325,41,4,58,92,6,352.514087,0.136018,20.439,19.918,19.786,19.787,19.715,0.092,0.019,0.023,0.033,0.126
3325,41,3,57,25,6,352.387941,-0.298064,14.641,12.31,14.34,11.392,12.592,5.339E-3,1.017E-3,9.189E-3,1.073E-3,7.904E-3
3325,41,3,58,22,6,352.532349,-0.325643,14.758,15.03,13.116,12.964,13.134,4.305E-3,0.011,2.45E-3,3.375E-3,5.119E-3
3325,41,3,59,125,3,352.644218,-0.278337,20.881,19.609,18.449,18.017,17.719,0.216,0.026,0.016,0.016,0.043
3325,41,3,58,134,6,352.576592,-0.315199,21.06,18.375,16.958,16.204,15.797,0.136,7.938E-3,4.841E-3,4.441E-3,7.131E-3
2662,40,3,231,188,6,352.285344,-0.184276,20.532,19.233,18.648,18.45,18.379,0.06,0.011,9.315E-3,0.01,0.032
3325,41,4,59,85,6,352.694925,0.034008,17.206,15.069,13.352,12.412,11.649,0.011,5.528E-3,8.679E-3,6.91E-4,5.999E-3
3325,41,4,58,31,3,352.565805,0.129053,20.229,19.835,19.975,19.648,19.95,0.113,0.026,0.043,0.05,0.289
3325,41,3,58,35,6,352.559004,-0.321724,16.693,15.412,14.954,14.794,14.738,7.938E-3,3.283E-3,3.297E-3,3.509E-3,4.836E-3
3325,41,3,58,141,6,352.603267,-0.307088,20.258,19.391,19.098,18.948,18.92,0.071,0.014,0.015,0.017,0.056
3325,41,4,59,75,6,352.702228,0.026905,19.449,17.681,17.019,16.811,16.724,0.04,5.505E-3,4.779E-3,5.188E-3,0.012
3325,41,4,58,78,6,352.480521,0.139592,21.575,19.123,17.999,17.611,17.309,0.241,0.011,7.348E-3,7.294E-3,0.018
3325,41,4,58,30,6,352.576295,0.128392,14.365,12.175,11.63,11.443,12.68,4.924E-3,1.096E-3,1.102E-3,7.908E-4,6.407E-3
3325,41,4,59,166,6,352.682683,0.057865,20.141,18.907,18.371,18.143,18.005,0.068,9.939E-3,9.316E-3,0.01,0.031
3325,41,3,57,92,6,352.365989,-0.291012,21.114,19.779,19.065,18.804,18.581,0.142,0.018,0.014,0.016,0.042
3325,41,3,59,11,6,352.646307,-0.284309,17.374,15.44,14.724,14.504,14.402,0.011,3.389E-3,3.01E-3,3.464E-3,4.424E-3
3325,41,3,59,124,3,352.637908,-0.29051,20.143,19.407,18.67,18.226,18.08,0.092,0.019,0.015,0.016,0.047
3325,41,4,59,76,6,352.70333,0.031138,20.108,18.972,18.87,18.876,18.86,0.065,0.01,0.013,0.016,0.06
2662,40,3,231,178,6,352.263755,-0.124442,21.556,18.922,17.507,16.603,16.099,0.127,9.376E-3,6.117E-3,5.985E-3,7.95E-3
3325,41,3,58,94,6,352.488979,-0.333822,19.877,18.445,17.892,17.717,17.597,0.054,8.274E-3,7.05E-3,7.988E-3,0.02
2662,40,3,231,180,6,352.267511,-0.146725,20.727,19.375,18.884,18.696,18.57,0.068,0.012,0.011,0.012,0.038
2662,40,3,231,176,6,352.262865,-0.118393,20.591,19.386,18.845,18.638,18.5,0.062,0.012,0.011,0.011,0.037
3325,41,4,56,108,6,352.296053,0.02833,21.663,19.749,18.92,18.665,18.462,0.244,0.017,0.012,0.014,0.046
2662,40,3,231,57,6,352.28047,-1.508709E-3,18.969,17.575,17.004,16.796,16.637,0.022,5.382E-3,5.504E-3,6.18E-3,0.01
3325,41,4,56,51,6,352.322902,0.065079,17.702,16.435,15.882,15.686,15.572,0.014,3.854E-3,3.827E-3,3.722E-3,6.754E-3
3325,41,3,59,12,3,352.642302,-0.288511,19.312,18.273,17.933,17.676,17.655,0.08,0.014,0.014,0.018,0.086
3325,41,4,58,101,6,352.528009,0.143136,20.912,18.384,16.863,16.118,15.688,0.134,7.724E-3,4.703E-3,4.158E-3,7.015E-3
3325,41,4,59,147,6,352.667754,0.078323,20.01,18.796,18.218,17.971,17.814,0.062,9.422E-3,8.524E-3,9.27E-3,0.027
2662,40,3,231,172,6,352.262354,-0.060968,20.771,18.5,17.556,17.223,17.017,0.071,7.505E-3,6.096E-3,6.727E-3,0.013
3325,41,3,58,71,6,352.570972,-0.326671,16.166,14.626,14.007,13.779,13.665,6.167E-3,3.076E-3,3.107E-3,3.343E-3,3.897E-3
2662,40,3,231,49,6,352.274799,-0.182359,18.958,17.768,17.262,17.065,16.949,0.022,5.689E-3,5.749E-3,6.451E-3,0.012
2662,40,3,234,134,6,352.739884,-0.136694,20.683,18.483,17.602,17.249,17.041,0.069,7.461E-3,6.513E-3,6.398E-3,0.012
2662,40,3,234,130,3,352.728668,-0.011173,21.557,19.986,18.963,18.291,17.914,0.239,0.024,0.015,0.013,0.034
3325,41,4,58,130,6,352.590579,0.130495,21.225,19.445,18.503,18.041,17.787,0.171,0.014,9.888E-3,9.567E-3,0.026
3325,41,4,56,107,6,352.291179,0.027705,21.787,19.353,17.982,17.005,16.47,0.269,0.013,7.335E-3,5.586E-3,0.011
2662,40,3,231,181,6,352.269585,-0.173029,21.547,19.651,18.836,18.499,18.312,0.127,0.014,0.01,0.011,0.031
3325,41,4,57,98,3,352.405708,0.129487,17.657,16.2,15.466,15.032,14.781,0.032,4.204E-3,3.483E-3,3.528E-3,9.143E-3
3325,41,4,57,123,3,352.466429,0.146582,19.141,17.852,17.321,17.026,16.813,0.121,0.014,0.013,0.015,0.055
3325,41,3,57,140,6,352.464415,-0.33825,20.335,19.348,18.96,18.819,18.757,0.077,0.014,0.013,0.017,0.048
2662,40,3,231,165,6,352.255416,-0.1094,21.607,19.798,19.064,18.772,18.592,0.133,0.015,0.011,0.012,0.038
3325,41,4,57,78,6,352.372736,0.115042,22.049,19.961,18.501,17.588,17.091,0.336,0.02,0.011,8.73E-3,0.017
3325,41,4,57,9,6,352.355319,0.103574,18.69,16.813,16.063,15.834,15.744,0.024,4.15E-3,3.943E-3,3.764E-3,7.078E-3
3325,41,4,59,130,6,352.641136,0.107909,21.363,18.907,17.486,16.338,15.751,0.185,0.01,5.844E-3,4.567E-3,7.326E-3
3325,41,3,58,132,6,352.569136,-0.332597,21.94,19.194,17.731,16.43,15.745,0.29,0.013,6.619E-3,4.694E-3,6.965E-3
2662,40,3,231,163,6,352.253827,-0.069114,20.725,19.621,19.259,19.153,19.031,0.068,0.013,0.013,0.015,0.054
3325,41,4,56,43,6,352.315426,0.070352,16.935,15.423,14.834,14.634,14.536,9.422E-3,3.266E-3,3.46E-3,3.229E-3,4.498E-3
2662,40,3,231,161,6,352.252024,-0.09178,22.032,19.439,18.005,17.293,16.835,0.189,0.012,7.074E-3,6.738E-3,0.011
3325,41,4,59,31,6,352.640393,0.111842,18.876,17.773,17.345,17.15,17.094,0.028,5.889E-3,5.519E-3,6.09E-3,0.016
